"","ID","Amout","Description","Grantmakers","Tags","Grantees (research)","Grantees (organisations)","Grantees (other)","Start year","Funder type","Recipients type","Source","Source_2"
"1310",243,"$6,812","This project aims to build upon the findings of existing and ongoing research to achieve a broader understanding of the stability and resilience of giant kelp forests.","The Rufford Foundation","Conservation and restoration","","","Blue Forest Mexico","2017","Philanthropic","Non-profit","https://ruffordorg.s3.amazonaws.com/media/project_reports/23217-1%20Final%20Report.pdf",""
"1410",244,"$7,016,009","MacroFuels - Developing the next generation Macro-Algae based biofuels for transportation via advanced bio-refinery processes","Horizon2020","Energy
Processing / Biorefinery","WUR - Wageningen University & Research
Scottish Association for Marine Science (SAMS)","AtSeaNova NV","","2016","Government","Private-public consortium","https://cordis.europa.eu/project/id/654010",""
"1510",245,"$4,859,731","MACRO CASCADE – Cascading Marine Macroalgal Biorefinery","Horizon2020","Processing / Biorefinery","WUR - Wageningen University & Research
Matis","Ocean Rainforest
Hortimare","","2016","Government","Private-public consortium","https://cordis.europa.eu/project/id/720755",""
"1610",246,"$2,642,715","MACROSEA - A knowledge platform for industrial macroalgae cultivation","Norwegian Research Council","Cultivation techniques
Genetics / Biochemistry","Sintef
Norges Teknisk-naturvitenskapelige Universitet NTNU","Austevoll Seaweed Farm (Flyt Seaweed)","Biokraft, Folla Alger, PE Reefs","2016","Government","Private-public consortium","https://prosjektbanken.forskningsradet.no/en/project/FORISS/254883",""
"1710",247,"$2,614,787","Biofuel Production from Kelp","ARPA-E MARINER","Aquaculture infrastructure & tech","","Marine BioEnergy","","2016","Government","Private sector","https://arpa-e.energy.gov/technologies/projects/biofuel-production-kelp",""
"1810",248,"$1,831,138","The project, Macroalgae biorefinery for high value products (MAB4) will contribute to solving the challenge of cultivation and conversion of macroalgae for production of value-added products. The vision of MAB4 is to turn seaweed and products hereof into value-added commodities of food and feed ingredients and products for skin-care.","Innovation Fund Denmark","Processing / Biorefinery
Feed
Applications research","DTU Aqua
Danish Technological Institute
Aarhus University","Ocean Rainforest
AtSeaNova NV","","2016","Government","Private-public consortium","https://www.dti.dk/projects/project-8211-macroalgae-biorefinery-for-high-value-products-mab4/37420",""
"1910",249,"$1,403,554","Investigation of Seaweed Cultivation as Ocean Acidification Mitigation Strategy","Paul G. Allen Family Foundation","Bioremediation","","Puget Sound Restoration Fund","","2016","Philanthropic","Non-profit","https://maps.foundationcenter.org/#/list/?subjects=all&popgroups=all&years=all&location=6295630&excludeLocation=0&geoScale=ADM0&layer=geo_area&boundingBox=-139.219,-31.354,135,66.513&gmOrgs=all&recipOrgs=all&tags=all&keywords=seaweed&pathwaysOrg=&pathwaysType=&acct=oceans&typesOfSupport=all&transactionTypes=all&amtRanges=all&minGrantAmt=0&maxGrantAmt=0&gmTypes=all&minAssetsAmt=0&maxAssetsAmt=0&minGivingAmt=0&maxGivingAmt=0&andOr=0&includeGov=1&custom=all&customArea=all&indicator=&dataSource=oecd&chartType=facets&multiSubject=1&listType=grant&windRoseAnd=undefined&zoom=2",""
"2010",250,"$1,104,678","Development of alternative sustainable fish feeds to promote human health using novel non-conventional indigenous ingredients","Biotechnology and Biological Sciences Research Council (BBSRC)","Feed","University of Stirling","","","2016","Government","Univ / Research institute","https://gtr.ukri.org/projects?ref=BB%2FN005031%2F1",""
"2111",251,"$969,588","This project will use competence and technology established during three decades of research to explore the basic mechanisms underlying the processivity and specificity of a family of enzymes called mannuronan C-5 epimerases acting on the polysaccharide alginate.","Norwegian Research Council","Genetics / Biochemistry","Norges Teknisk-naturvitenskapelige Universitet NTNU","","University of Amsterdam, Umeå University","2016","Government","Univ / Research institute","https://prosjektbanken.forskningsradet.no/en/project/FORISS/250875",""
"2210",252,"$958,043","ERA-NET: Biorefinery and biotechnological exploitation of marine biomass","Norwegian Research Council","Processing / Biorefinery","Royal Institute of Technology (KTH)
University of Trieste (UNITS)","DuPont","Slovenian National Institute of Chemistry","2016","Government","Private-public consortium","https://prosjektbanken.forskningsradet.no/en/project/FORISS/264065",""
"2310",253,"$939,569","Blue Iodine II - to produce in a cost effective way new high quality seaweed iodine products focusing in solving the iodine deficiency demonstrated in 3 main target groups (children, pregnant and breastfeeding women and elderly)","Horizon2020","Nutraceuticals","","Unidade Bioquímica Lda (UBQ II)","","2016","Government","Private sector","https://cordis.europa.eu/project/id/733552",""
"150",254,"$800,000","Seaweed.now - activating Danish seaweed resources","Velux Foundations","Genetics / Biochemistry
New foods
Environmental impact study","Aarhus University
AlgeCenter","","","2016","Philanthropic","Univ / Research institute","https://veluxfoundations.dk/en/about/projects-granted#/006b000000NtGB6AAN",""
"240",255,"$705,125","ERA-NET: Thermophilic cell factories for efficient conversion of brown algae biomass to high-value chemicals","Norwegian Research Council","Processing / Biorefinery
Biochemicals","Sintef
Norges Teknisk-naturvitenskapelige Universitet NTNU","","","2016","Government","Univ / Research institute","https://prosjektbanken.forskningsradet.no/en/project/FORISS/258849",""
"311",256,"$681,201","To allow novel uses and combinations of uses such as aquaculture, seaweed production and sustainable energy production to come into operation in these environments there is a need to address the safety issues surrounding: in situ food production; multiple-use sites; implications to safety of the broader marine system. Whilst this project has a focus on novel food production, it will also have other safety spin out benefits for other (multiple) uses of marine space.","Lloyd's Register Foundation","Food safety","WUR - Wageningen University & Research","","","2016","Philanthropic","Univ / Research institute","https://grantnav.threesixtygiving.org/grant/360G-LloydsRegisterFdn-G%5C100123",""
"411",257,"$502,378","we would like to investigate whether the Thai seaweed extract can be used to help research into cancer of the bile duct in Thailand and the rest of the world.","Medical Research Council","Pharmaceuticals","","","University of Nottingham","2016","Government","Univ / Research institute","https://gtr.ukri.org/projects?ref=MR%2FN01247X%2F1",""
"511",258,"$299,605","Integrating mussel and kelp longline culture structures and management","Woods Hole Sea Grant","IMTA","University of Connecticut
Woods Hole Oceanographic Institute","","","2016","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"611",259,"$286,405","Novel Extraction Processes for mulTiple high-value compoUNds from selected Algal Source materials","Norwegian Research Council","Processing / Biorefinery","","","Tromso University","2016","Government","Univ / Research institute","https://prosjektbanken.forskningsradet.no/en/project/FORISS/270522",""
"711",260,"$273,926","Sea Grant brings kelp farmers and local chefs together to build market interest; leads to chef-led demo of kelp recipes","Connecticut Sea Grant","Capacity building / outreach","Connecticut Sea Grant","","","2016","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"811",261,"$270,148","Alaska Sea Grant researchers addressed industry-driven questions about the seaweed life cycle in order to provide strategies and techniques to bolster seaweed mariculture in the state.","Alaska Sea Grant","Cultivation techniques","University of Alaska Fairbanks
Alaska Sea Grant","","","2016","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"911",262,"$259,747","This project seeks to determine if population connectivity and thermal stress limits the ecological performance and capacity for biological adaptation of seaweed forests to environmental change","Australian Research Council","Ecology / Plant biology","University of Western Australia","","","2016","Government","Univ / Research institute","https://researchdata.edu.au/discovery-projects-grant-id-dp160100114/663739/",""
"1011",263,"$239,461","Automate the seabaling process via heavy-duty compaction/baling machinery and provide the first ever reapplication of compacted seaweed wrack to restore and enlarge dunes in a sustainable manner","Texas Govt","Coastal defense","Texas A&M University","","","2016","Government","Univ / Research institute","https://www.glo.texas.gov/coastal-grants/projects/1618-sustaining-dune-growth-with-seabales.html",""
"1115",264,"$199,769","This project aims to restore a key habitat forming-seaweed and its ecosystem, by integrating experimental ecology, population genetics, eco-engineering and restoration ecology","Australian Research Council","Conservation and restoration","University of NSW","","","2016","Government","Univ / Research institute","https://researchdata.edu.au/linkage-projects-grant-id-lp160100836/942088",""
"1213",265,"$89,571","Evaluating the relationship between kelp forest ecosystems and water temperature in the southern gulf of maine","Woods Hole Sea Grant","Ecology / Plant biology","University of Massachusetts-Boston","","","2016","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"1311",266,"$58,460","Fucoderm - An effective, side effect-free topical emollient treatment for atopic dermatitis made from a sustainably procured seaweed extract","Horizon2020","Pharmaceuticals","","Glycomar","","2016","Government","Private sector","https://cordis.europa.eu/project/id/744737",""
"1411",267,"$50,000","Sargassum Abatement Project to Preserve Kelp Forests on Los Angeles' Coast","US Dept of Commerce","Sargassum / other algal blooms
Conservation and restoration","","","Los Angeles Waterkeeper","2016","Government","Non-profit","https://maps.foundationcenter.org/#/list/?subjects=all&popgroups=all&years=all&location=6295630&excludeLocation=0&geoScale=ADM0&layer=geo_area&boundingBox=-139.219,-31.354,135,66.513&gmOrgs=all&recipOrgs=all&tags=all&keywords=kelp&pathwaysOrg=&pathwaysType=&acct=oceans&typesOfSupport=all&transactionTypes=all&amtRanges=all&minGrantAmt=0&maxGrantAmt=0&gmTypes=all&minAssetsAmt=0&maxAssetsAmt=0&minGivingAmt=0&maxGivingAmt=0&andOr=0&includeGov=1&custom=all&customArea=all&indicator=&dataSource=oecd&chartType=facets&multiSubject=1&listType=grant&windRoseAnd=undefined&zoom=2",""
"1511",268,"$10,000","To advance research linking seaweed aquaculture to improved water quality, and to evaluate its potential in mitigating ocean acidification.","Davis Conservation Foundation","CDR
Bioremediation","Bigelow Laboratory for Ocean Sciences","","","2016","Philanthropic","Univ / Research institute","",""
"1611",269,"$10,578,935","The main goal of Foods of Norway is to develop novel protein sources in diets for livestock and fish. The centre focuses on use of woody biomass and seaweed, as Norway is rich in these resources and they do not compete with food resources for humans.","Norwegian Research Council","Feed","Norges Miljø- Og Biovitenskapelige Universitet (NMBU)","","","2015","Government","Univ / Research institute","https://prosjektbanken.forskningsradet.no/en/project/FORISS/237841",""
"1711",270,"$7,036,025","IDEALG - The IDEALG project conducts genomic and postgenomic research in order to develop new tools and new methods for the selection of local resources of large marine algae in aquaculture.","ANR - National Research Agency France","Genetics / Biochemistry
Environmental impact study","CEVA - Centre des Etudes et de Valorisation des Algues","France Haliotis","","2015","Government","Private-public consortium","https://anr.fr/ProjetIA-10-BTBR-0004",""
"1811",271,"$3,858,220","PROMAC: Energy efficient PROcessing of MACroalgae in blue-green value chains","Norwegian Research Council","Processing / Biorefinery","Sintef
NIBIO - Norsk Institutt For Bioøkonomi
Norges Teknisk-naturvitenskapelige Universitet NTNU","Hortimare
Orkla","Sveriges Landbruksuniversitet (SLU), Legasea, Marinox","2015","Government","Private-public consortium","https://prosjektbanken.forskningsradet.no/en/project/FORISS/244244",""
"1911",272,"$2,761,902","SeaGas : Production of bio-methane from seaweed by Anaerobic Digestion (AD)","Innovate UK
Biotechnology and Biological Sciences Research Council (BBSRC)","Energy","Scottish Association for Marine Science (SAMS)","Centre for Process Innovation","","2015","Government
Government","Private-public consortium","https://gtr.ukri.org/search/project?term=seagas&fetchSize=25&selectedSortableField=pro.am&selectedSortOrder=DESC&fields=acp.d%2Cis.t%2Cprod.t%2Cpol.oid%2Cacp.oid%2Crtp.t%2Cpol.in%2Cprod.i%2Cper.pro.abs%2Cacp.i%2Ccol.org%2Cacp.t%2Cis.d%2Cis.oid%2Ccpro.rtpc%2Cprod.d%2Cstp.oid%2Crtp.i%2Crdm.oid%2Crtp.d%2Ccol.dept%2Cff.d%2Cff.c%2Ccol.pc%2Cpub.t%2Ckf.d%2Cdis.t%2Ccol.oid%2Cpro.t%2Cper.sn%2Corg.orcidId%2Cper.on%2Cff.dept%2Crdm.t%2Corg.n%2Cdis.d%2Cprod.oid%2Cso.cn%2Cdis.i%2Cpro.a%2Cpub.orcidId%2Cpol.gt%2Crdm.i%2Crdm.d%2Cso.oid%2Cper.fnsn%2Cper.org.n%2Cper.pro.t%2Cpro.orcidId%2Cpub.a%2Ccol.d%2Cper.orcidId%2Ccol.c%2Cip.i%2Cpro.gr%2Cpol.i%2Cso.t%2Cper.fn%2Ccol.i%2Cip.t%2Cff.oid%2Cstp.i%2Cso.i%2Ccpro.rcpgm%2Ccpro.hlt%2Ccol.pic%2Cso.d%2Cff.t%2Cip.d%2Cdis.oid%2Cip.oid%2Cstp.d%2Crtp.oid%2Cff.org%2Ckf.oid%2Cstp.t&type=",""
"2011",273,"$1,751,479","SEXSEA- The goal of our project is to exploit the remarkable richness of sexual characteristics of the brown algae to gain novel insights into the functional and evolutionary interactions between the sex chromosomes and key eukaryotic reproductive and life cycle features.","Horizon2020","Ecology / Plant biology","CNRS - Centre national de la recherche scientifique","","","2015","Government","Univ / Research institute","https://cordis.europa.eu/project/id/638240",""
"2112",274,"$1,500,000","To investigate seaweed cultivation as a potential strategy for mitigating ocean acidification","Paul G. Allen Family Foundation","Bioremediation","","Puget Sound Restoration Fund","","2015","Philanthropic","Non-profit","https://restorationfund.org/programs/sugarkelpoa/",""
"2211",275,"$659,180","The investigators will ask two highly integrated questions: 1) How do the widespread losses of kelp forests impact benthic productivity across the Aleutian Archipelago? 2) How do the widespread losses of kelp forests impact benthic biodiversity and community structure across the archipelago?","National Science Foundation (NSF)","Ecology / Plant biology","University of Alaska Fairbanks
San Diego State University","","","2015","Government","Univ / Research institute","https://www.nsf.gov/awardsearch/showAward?AWD_ID=1435205","https://www.nsf.gov/awardsearch/showAward?AWD_ID=1435194"
"812",276,"$657,685","Development of On-Land, Closed Containment Integrated Multitrophic Sustainable Aquaculture by means of Ecological Diversity.","National Science Foundation (NSF)","IMTA","","","Acadia Harvest","2015","Government","Private sector","https://www.nsf.gov/awardsearch/showAward?AWD_ID=1430710",""
"912",277,"$515,848","This study examined the role of Sargassum seaweed as a source of DOM and CDOM in the open ocean.","National Science Foundation (NSF)","Ecology / Plant biology","University of Maryland","","","2015","Government","Univ / Research institute","https://www.nsf.gov/awardsearch/showAward?AWD_ID=1536927","https://www.nsf.gov/awardsearch/showAward?AWD_ID=1536888"
"1012",278,"$387,544","This project aims to improve seaweed processing to deliver multiple high-value products including alginate, fucoidan and laminarin, which have food, cosmetic and pharmaceutical uses.","Australian Research Council","Processing / Biorefinery","The Flinders University of South Australia","","","2015","Government","Univ / Research institute","https://researchdata.edu.au/linkage-projects-grant-id-lp150100225/625827/",""
"1116",279,"$296,593","Alaska Sea Grant provided technical assistance to local mariculture farmers to further optimize commercial production of oysters, mussels and seaweeds, and informed a highly interested public on the rising potential and techniques for seaweed mariculture in Alaska.","Alaska Sea Grant","Capacity building / outreach","Alaska Sea Grant","","","2015","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"1214",280,"$268,356","Production of Macroalgae for Human Consumption in the Pacific Northwest:controls for production methods,Product Quality and Consumer Response","US Dept of Commerce","Cultivation techniques","","","Sol-Sea Ltd","2015","Government","Private sector","https://maps.foundationcenter.org/#/list/?subjects=all&popgroups=all&years=all&location=6295630&excludeLocation=0&geoScale=ADM0&layer=geo_area&boundingBox=-139.219,-31.354,135,66.513&gmOrgs=all&recipOrgs=all&tags=all&keywords=macroalgae&pathwaysOrg=&pathwaysType=&acct=oceans&typesOfSupport=all&transactionTypes=all&amtRanges=all&minGrantAmt=0&maxGrantAmt=0&gmTypes=all&minAssetsAmt=0&maxAssetsAmt=0&minGivingAmt=0&maxGivingAmt=0&andOr=0&includeGov=1&custom=all&customArea=all&indicator=&dataSource=oecd&chartType=facets&multiSubject=1&listType=grant&windRoseAnd=undefined&zoom=2",""
"1312",281,"$254,366","to address farming opportunities for oysters, submerged longline growout of blue mussels and culture techniques for different seaweed species.","New Hampshire Sea Grant","Capacity building / outreach","School of Marine Science and Ocean Engineering @ University of New Hampshire","","","2015","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"1412",282,"$223,590","Overcoming barriers in estimating toxicity of arsenic species in seaweed","Horizon2020","Food safety","Matis","","","2015","Government","Private sector","https://cordis.europa.eu/project/id/656596",""
"1512",283,"$178,819","To capture carbon dioxide from the ocean in large-scale offshore seaweed farms, employing high-rate novel anaerobic digestion processes to convert that carbon to methane gas to be injected into the UKs gas grids, increasing our energy security.","Innovate UK","Energy","","","University of Birmingham","2015","Government","Univ / Research institute","https://gtr.ukri.org/projects?ref=509582#/tabOverview",""
"1612",284,"$172,360","The spread and ecological consequences of the invasive seaweed, sargassum horneri","California Sea Grant","Sargassum / other algal blooms
Ecology / Plant biology","Marine Science Institute @ UC Santa Barbara","","","2015","Government","Univ / Research institute","https://seagrant.noaa.gov/insideseagrant/database",""
"1712",285,"$25,000","Objective 1: Restore 5 acres of kelp forest in Palos Verdes in 2015 Project divers measure the square meters culled for each dive trip. These meters are then monitored consistently to ensure proper re-growth of kelp.","Paul M. Angell Family Foundation","Conservation and restoration","","","Los Angeles Waterkeeper","2015","Philanthropic","Non-profit","",""
"1812",286,"$9,963","Evaluating potential cascading impacts of sea star wasting disease on top-down grazer regulations in kelp forests.","California Sea Grant","Ecology / Plant biology","","San Diego Oceans Foundation","","2015","Government","Non-profit","https://seagrant.noaa.gov/insideseagrant/database",""
